,ID,song1,song2,song3,song4,song5
476,476,8719,9950,3910,32807,49923
477,477,962,6819,43129,51436,49026
478,478,33098,25435,42391,21298,28960
479,479,14980,27563,55865,22489,14849
480,480,51991,17199,49646,33172,23283
481,481,56798,25914,15293,40249,28267
482,482,40599,43817,38718,46983,39632
483,483,47926,48370,21038,28530,8500
484,484,16377,19225,2961,34502,44294
485,485,1767,23537,3344,17933,19365
486,486,43718,41291,9522,40508,6492
487,487,42566,4902,34726,53487,42054
488,488,24938,33142,1611,14009,53999
489,489,34469,10337,21413,37712,4598
490,490,48567,14811,2744,25558,35765
491,491,21412,29247,25343,55064,57020
492,492,7281,21634,54584,41351,42900
493,493,38924,11834,18297,23357,7548
494,494,45601,17522,46696,22522,31888
495,495,14678,33860,54021,14726,9899
496,496,40451,39099,44450,33511,21410
497,497,52587,9267,55497,56724,8501
498,498,44755,6478,47909,30406,54263
499,499,34469,10308,31776,8520,4598
500,500,35216,8575,12804,44982,47358
501,501,28086,20269,26878,28608,55230
502,502,5781,19169,1378,50872,24610
503,503,49228,56748,41990,41075,45215
504,504,29771,50931,770,12012,37976
505,505,9139,47496,37642,14048,42527
506,506,15992,28032,54674,31204,15920
507,507,27443,10708,6698,50371,16212
508,508,11805,9226,19046,40219,24502
509,509,13365,23705,8790,39027,52748
510,510,29245,47147,40328,20685,31102
511,511,18440,2336,42108,51278,22255
512,512,26528,22344,41605,50892,3476
513,513,9908,7270,3978,54687,37309
514,514,56039,15140,51066,53624,27048
515,515,4643,33765,8885,39194,54345
516,516,55323,13468,6967,39810,21454
517,517,3704,46043,34277,3658,57253
518,518,49064,48866,40259,23486,51038
519,519,30624,38919,51311,43030,48192
520,520,53758,24206,8462,46262,13228
521,521,29036,57325,38240,56060,1502
522,522,46990,31880,32870,2601,11785
523,523,17535,12349,35396,14253,42487
524,524,40364,51226,30908,40636,33803
525,525,44103,46531,15665,19419,19962
526,526,29357,30908,50179,13282,42326
527,527,387,13818,53509,43399,39865
528,528,32228,33175,13883,27215,12037
529,529,33327,35690,52824,52588,33258
530,530,39195,21628,15951,42984,48814
531,531,30607,56059,46918,1191,45684
532,532,30189,24782,39558,41396,26345
533,533,10680,4096,22137,335,52360
534,534,40273,23511,25204,44817,5584
535,535,26137,49861,15118,39132,43125
536,536,29246,56070,44343,4910,38501
537,537,52189,50312,27105,25371,37509
538,538,2326,29923,10437,48348,21142
539,539,1843,17333,5101,53391,43243
540,540,14913,24070,21152,12403,31538
541,541,17564,22235,8201,45269,24056
542,542,42598,24039,30811,28476,51594
543,543,56328,18010,36081,56341,53307
544,544,56657,27615,51792,30703,12943
545,545,43289,28988,13342,15632,40530
546,546,38016,26802,31536,19645,6176
547,547,3590,18459,24993,15397,43994
548,548,33890,349,30383,33339,2412
549,549,24867,20394,23061,51670,3732
550,550,21412,21389,50156,52770,5290
551,551,27601,21127,41896,17562,2834
552,552,8392,30972,26425,31487,19974
553,553,35809,29121,25149,25503,8147
554,554,57282,37653,51100,27389,9597
555,555,10215,55309,6219,29446,51506
556,556,32514,41867,11150,57052,41407
557,557,31937,3430,8191,5476,31033
558,558,28196,42411,12677,52491,33636
559,559,37159,36240,7371,24714,23784
560,560,24508,33214,11434,53768,14471
561,561,6703,29420,44709,50770,38666
562,562,12853,41855,37997,28051,1681
563,563,37432,55263,53451,1686,6185
564,564,43647,21663,48660,35835,35907
565,565,39672,10306,56265,4068,16008
566,566,9407,55154,9207,24979,44784
567,567,53275,6366,41780,40709,42535
568,568,51679,14189,29220,16096,19525
569,569,11075,40969,25274,26684,31032
570,570,32721,52310,52815,16254,47365
571,571,28260,24938,10566,3472,48770
572,572,28246,24757,45110,31642,11819
573,573,57307,9487,7268,53249,32456
574,574,20427,48226,20585,49154,4124
575,575,54146,41967,33343,26107,39805
576,576,24207,34084,37569,20654,52853
577,577,10367,11385,1929,26346,8825
578,578,21000,27725,36513,33100,18822
579,579,23149,2408,40694,24625,17014
580,580,13038,38401,39159,35301,52296
581,581,26178,5399,6200,3012,18631
582,582,2366,27947,16171,36232,14471
583,583,2479,1429,28807,39927,9249
584,584,3144,47000,10261,33403,56643
585,585,15472,33914,30114,57398,16198
586,586,24508,25272,20389,2640,8513
587,587,35713,7071,19001,56212,6144
588,588,26022,21417,22696,8795,25126
589,589,21219,54356,42565,3066,12012
590,590,42642,40572,39046,23629,37610
591,591,45579,33750,18883,45408,5258
592,592,1895,32674,12206,2356,50691
593,593,20999,45278,12283,55143,37431
594,594,35172,4247,52543,3273,35298
595,595,30746,36811,56220,9074,56344
596,596,55352,19336,31425,29927,54072
597,597,38184,16714,47231,30511,8585
598,598,12995,31322,10243,31714,27611
599,599,47604,57484,31471,24385,1218
600,600,55972,4317,14945,28443,17154
601,601,19570,1,41373,24210,46817
602,602,17642,7730,45613,44151,27326
603,603,34649,1795,52509,57187,1731
604,604,35732,21835,7909,51771,24970
605,605,50024,19158,12515,57213,34996
606,606,8751,36169,19109,23202,26289
607,607,11765,33948,18836,174,28959
608,608,53065,46510,28429,12135,26092
609,609,9426,41816,46875,25562,3322
610,610,9480,51930,11774,342,51562
611,611,4572,37312,52004,36458,57609
612,612,39433,17591,275,44223,19683
613,613,17728,21917,35283,2038,18103
614,614,43985,17334,26797,20658,50893
615,615,9704,7101,43924,38239,21903
616,616,7479,7796,12028,22315,7798
617,617,25987,48301,34738,7712,23768
618,618,54747,56738,53084,22274,22769
619,619,42646,19135,42263,56492,38649
620,620,34575,43915,40561,56817,12435
621,621,13615,30526,45131,53316,41876
622,622,40650,40198,26127,10298,53971
623,623,17862,53318,14007,31576,55645
624,624,25581,2524,45705,6350,18882
625,625,5028,39945,11536,17538,14308
626,626,31511,43615,5566,14655,45971
627,627,15691,39823,56360,49503,19374
628,628,41908,39628,27551,4847,8172
629,629,12800,25859,3169,14954,2566
630,630,21957,23719,47943,12272,33124
631,631,26186,7234,56340,29178,39678
632,632,27172,8019,17278,10758,36368
633,633,37644,29710,23881,34862,40216
634,634,21651,47183,56704,878,7643
635,635,57305,7197,13198,10249,53711
636,636,20241,41208,4387,39316,44852
637,637,25016,12350,35826,35919,24956
638,638,18171,38809,13661,23241,30287
639,639,4809,56291,1020,51380,39946
640,640,57190,36684,31245,32486,11094
641,641,57350,9447,8884,48625,14043
642,642,18634,44717,32240,38028,11794
643,643,8664,44274,44273,32111,33507
644,644,34344,33451,52021,50463,14143
645,645,27238,4438,26124,17693,40653
646,646,10041,17038,50412,18725,55360
647,647,52291,33405,684,50500,44477
648,648,50659,24181,23175,44194,16072
649,649,7008,7922,33902,8754,10417
650,650,30929,17795,11009,29284,142
651,651,47011,55833,21405,45836,36178
652,652,23281,34002,6921,13817,52678
653,653,1934,10237,55999,27706,8058
654,654,8525,16582,32334,46657,8595
655,655,43501,38305,50082,28164,24289
656,656,23748,56716,49951,19094,8957
657,657,43103,23529,10181,52839,38989
658,658,3259,34925,53887,18581,9558
659,659,33408,21156,15487,38801,52862
660,660,32793,31162,49566,55996,37666
661,661,2888,11614,2620,7006,1310
662,662,21311,22855,36582,47624,48081
663,663,20252,20075,21789,46340,37834
664,664,13383,8886,27707,57349,40087
665,665,32582,31674,54574,23011,1426
666,666,47694,31803,6704,28336,5278
667,667,16709,29204,9159,10052,54674
668,668,19335,39963,32443,5759,48176
669,669,2188,34202,6902,12988,29140
670,670,53987,14929,1205,27313,55365
671,671,15698,15705,56365,2857,52118
672,672,23157,17684,42002,15183,32798
673,673,37833,45245,5371,15540,20134
674,674,2448,8153,42091,26539,18615
675,675,14368,14062,37334,54089,57597
676,676,13400,30535,21251,52745,19091
677,677,36321,37444,15678,21081,54844
678,678,48734,19494,41874,55578,55913
